Facebook,GooglePlus,LinkedIn,Title_wl,Headline_wl,Facebook_scaled,GooglePlus_scaled,LinkedIn_scaled,Hour,Topic_economy,Topic_microsoft,Topic_obama,Topic_palestine,SentimentTitle_Category_negative,SentimentTitle_Category_neutral,SentimentTitle_Category_positive,SentimentHeadline_Category_negative,SentimentHeadline_Category_neutral,SentimentHeadline_Category_positive,Source_type_S1,Source_type_S2,Source_type_S3,Source_type_S4,PublishSinTime,PublishCosTime
0,0,0,-0.37434198930592316,0.2659312987661996,0.0,0.0,0.0,14,False,False,False,True,False,True,False,True,False,False,False,False,False,True,-0.5112930860770523,-0.8594064115014526
-1,-1,-1,-0.37434198930592316,-0.7636004018409142,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,19,True,False,False,False,False,False,True,True,False,False,False,False,False,True,-0.9440890203927844,0.32969064526278663
0,0,0,-0.37434198930592316,-0.7636004018409142,0.0,0.0,0.0,09,False,False,False,True,False,True,False,False,False,True,False,False,False,True,0.6122172800344496,-0.7906895737438431
0,0,0,-0.37434198930592316,0.9522857658376087,0.0,0.0,0.0,00,False,False,False,True,True,False,False,False,False,True,False,False,False,True,0.06540312923014306,0.9978589232386035
-1,-1,-1,1.0714606377383384,1.9818174664447226,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,True,False,False,False,True,False,False,False,True,False,False,False,True,0.0,1.0
-1,-1,-1,1.0714606377383384,0.2659312987661996,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,False,False,True,False,False,True,True,False,False,False,False,False,True,0.0,1.0
-1,-1,-1,-0.37434198930592316,-1.1067776353766188,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,False,False,True,False,True,False,True,False,False,True,False,False,False,0.0,1.0
-1,-1,-1,-1.8201446163501847,0.6091085323019042,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,False,False,True,True,False,False,True,False,False,False,False,False,True,0.0,1.0
-1,-1,-1,-0.37434198930592316,-1.1067776353766188,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,False,False,True,False,True,False,False,False,True,False,False,True,False,0.0,1.0
-1,-1,-1,1.0714606377383384,-0.42042316830520954,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,False,False,True,True,False,False,False,False,True,False,False,False,True,0.0,1.0
-1,-1,-1,-0.37434198930592316,-0.42042316830520954,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,False,True,False,True,False,False,True,False,False,False,False,False,True,0.0,1.0
-1,-1,-1,-0.37434198930592316,-0.7636004018409142,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,01,True,False,False,False,False,True,False,False,False,True,False,False,False,True,0.4694715627858908,0.882947592858927
-1,-1,-1,-0.37434198930592316,-0.7636004018409142,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,03,True,False,False,False,False,True,False,False,False,True,False,False,False,True,0.737277336810124,0.6755902076156602
-1,-1,-1,-0.37434198930592316,-0.7636004018409142,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,12,True,False,False,False,False,False,True,False,False,True,False,False,True,False,-0.24615329302899297,-0.9692309097067544
-1,-1,-1,-1.8201446163501847,-0.42042316830520954,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,14,False,True,False,False,True,False,False,False,True,False,False,False,True,False,-0.6293203910498373,-0.7771459614569711
-1,-1,-1,-0.37434198930592316,-1.1067776353766188,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,True,False,False,True,False,False,True,False,False,False,False,False,True,0.0,1.0
-1,-1,-1,-0.37434198930592316,0.6091085323019042,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,True,False,False,False,True,False,True,False,False,False,False,True,False,0.0,1.0
-1,-1,-1,-0.37434198930592316,-0.42042316830520954,-0.6717386235440148,-1.1656743780739705,-1.1021988933174574,00,False,True,False,False,False,True,False,False,False,True,False,False,False,True,0.0,1.0
